N1_contact TotalCurrent(n297_TLPn297_des) X,N1_contact TotalCurrent(n297_TLPn297_des) Y,N1_contact TotalCurrent(n310_TLPn310_des) X,N1_contact TotalCurrent(n310_TLPn310_des) Y,N1_contact TotalCurrent(n323_TLPn323_des) X,N1_contact TotalCurrent(n323_TLPn323_des) Y,N1_contact TotalCurrent(n336_TLPn336_des) X,N1_contact TotalCurrent(n336_TLPn336_des) Y,N1_contact TotalCurrent(n349_TLPn349_des) X,N1_contact TotalCurrent(n349_TLPn349_des) Y,N1_contact TotalCurrent(n362_TLPn362_des) X,N1_contact TotalCurrent(n362_TLPn362_des) Y,N1_contact TotalCurrent(n375_TLPn375_des) X,N1_contact TotalCurrent(n375_TLPn375_des) Y,N1_contact TotalCurrent(n388_TLPn388_des) X,N1_contact TotalCurrent(n388_TLPn388_des) Y,N1_contact TotalCurrent(n401_TLPn401_des) X,N1_contact TotalCurrent(n401_TLPn401_des) Y,N1_contact TotalCurrent(n414_TLPn414_des) X,N1_contact TotalCurrent(n414_TLPn414_des) Y,N1_contact TotalCurrent(n427_TLPn427_des) X,N1_contact TotalCurrent(n427_TLPn427_des) Y,N1_contact TotalCurrent(n440_TLPn440_des) X,N1_contact TotalCurrent(n440_TLPn440_des) Y,N1_contact TotalCurrent(n453_TLPn453_des) X,N1_contact TotalCurrent(n453_TLPn453_des) Y,N1_contact TotalCurrent(n466_TLPn466_des) X,N1_contact TotalCurrent(n466_TLPn466_des) Y,N1_contact TotalCurrent(n479_TLPn479_des) X,N1_contact TotalCurrent(n479_TLPn479_des) Y,N1_contact TotalCurrent(n492_TLPn492_des) X,N1_contact TotalCurrent(n492_TLPn492_des) Y,N1_contact Temperature(n297_TLPn297_des) X,N1_contact Temperature(n297_TLPn297_des) Y,N1_contact Temperature(n310_TLPn310_des) X,N1_contact Temperature(n310_TLPn310_des) Y,N1_contact Temperature(n323_TLPn323_des) X,N1_contact Temperature(n323_TLPn323_des) Y,N1_contact Temperature(n336_TLPn336_des) X,N1_contact Temperature(n336_TLPn336_des) Y,N1_contact Temperature(n349_TLPn349_des) X,N1_contact Temperature(n349_TLPn349_des) Y,N1_contact Temperature(n362_TLPn362_des) X,N1_contact Temperature(n362_TLPn362_des) Y,N1_contact Temperature(n375_TLPn375_des) X,N1_contact Temperature(n375_TLPn375_des) Y,N1_contact Temperature(n388_TLPn388_des) X,N1_contact Temperature(n388_TLPn388_des) Y,N1_contact Temperature(n401_TLPn401_des) X,N1_contact Temperature(n401_TLPn401_des) Y,N1_contact Temperature(n414_TLPn414_des) X,N1_contact Temperature(n414_TLPn414_des) Y,N1_contact Temperature(n427_TLPn427_des) X,N1_contact Temperature(n427_TLPn427_des) Y,N1_contact Temperature(n440_TLPn440_des) X,N1_contact Temperature(n440_TLPn440_des) Y,N1_contact Temperature(n453_TLPn453_des) X,N1_contact Temperature(n453_TLPn453_des) Y,N1_contact Temperature(n466_TLPn466_des) X,N1_contact Temperature(n466_TLPn466_des) Y,N1_contact Temperature(n479_TLPn479_des) X,N1_contact Temperature(n479_TLPn479_des) Y,N1_contact Temperature(n492_TLPn492_des) X,N1_contact Temperature(n492_TLPn492_des) Y
-1.19E-05,1.00E-12,4.93E-05,1.00E-11,0.013578633,2.00E-09,0.020373833,3.00E-09,0.027166653,4.00E-09,0.033957044,5.00E-09,0.040744954,6.00E-09,0.047530331,7.00E-09,0.054313125,8.00E-09,0.061093283,9.00E-09,0.074645483,1.10E-08,0.081417417,1.20E-08,0.088186503,1.30E-08,0.1017159,1.50E-08,0.1084761,1.60E-08,0.11523322,1.70E-08,-1.19E-05,300,4.93E-05,300,0.013578633,300,0.020373833,300,0.027166653,300,0.033957044,300,0.040744954,300,0.047530331,300,0.054313125,300,0.061093283,300,0.074645483,300,0.081417417,300,0.088186503,300,0.1017159,300,0.1084761,300,0.11523322,300
6.06E-06,2.20E-12,0.000228845,2.20E-11,0.049427303,4.40E-09,0.074099888,6.60E-09,0.098735482,8.80E-09,0.12333138,1.10E-08,0.14788468,1.32E-08,0.1723922,1.54E-08,0.19685045,1.76E-08,0.22125555,1.98E-08,0.26988817,2.42E-08,0.2941047,2.64E-08,0.31824543,2.86E-08,0.3662587,3.30E-08,0.39010038,3.52E-08,0.41379876,3.74E-08,6.06E-06,300,0.000228845,300,0.049427303,300,0.074099888,300,0.098735482,300,0.12333138,300,0.14788468,300,0.1723922,300,0.19685045,300,0.22125555,300,0.26988817,300,0.2941047,300,0.31824543,300,0.3662587,300,0.39010038,300,0.41379876,300
4.17E-05,3.64E-12,0.000585282,3.64E-11,0.12037904,7.28E-09,0.18021973,1.09E-08,0.23975865,1.46E-08,0.29892934,1.82E-08,0.35762729,2.18E-08,0.41563436,2.55E-08,0.47234727,2.91E-08,0.52599919,3.28E-08,0.60919066,4.00E-08,0.63572239,4.37E-08,0.65527144,4.73E-08,0.68228804,5.46E-08,0.69222936,5.82E-08,0.70068119,6.19E-08,4.17E-05,300,0.000585282,300,0.12037904,300,0.18021973,300,0.23975865,300,0.29892934,300,0.35762729,300,0.41563436,300,0.47234727,300,0.52599919,300,0.60919066,300,0.63572239,300,0.65527144,300,0.68228804,300,0.69222936,300,0.70068119,300
0.000104781,5.37E-12,0.001216036,5.37E-11,0.2450242,1.07E-08,0.36538043,1.61E-08,0.48190882,2.15E-08,0.57961814,2.68E-08,0.63672064,3.22E-08,0.6681661,3.76E-08,0.68846394,4.29E-08,0.70304361,4.83E-08,0.72230909,5.90E-08,0.6943428,4.89E-08,0.70535921,5.29E-08,0.74301292,8.05E-08,0.74674192,8.59E-08,0.75016605,9.13E-08,0.000104781,300,0.001216036,300,0.2450242,300,0.36538043,300,0.48190882,300,0.57961814,300,0.63672064,300,0.6681661,300,0.68846394,300,0.70304361,300,0.72230909,300,0.6943428,300,0.70535921,300,0.74301292,300,0.74674192,300,0.75016605,300
0.000209713,7.44E-12,0.002265276,7.44E-11,0.44756838,1.49E-08,0.61159183,2.23E-08,0.67057947,2.98E-08,0.69741489,3.72E-08,0.7121409,4.46E-08,0.7219533,5.21E-08,0.72957966,5.95E-08,0.73595566,6.70E-08,0.74639534,8.19E-08,0.72061184,5.51E-08,0.72651411,5.97E-08,0.76219922,1.12E-07,0.7655108,1.19E-07,0.76863779,1.27E-07,0.000209713,300,0.002265276,300,0.44756838,300,0.61159183,300,0.67057947,300,0.69741489,300,0.7121409,300,0.7219533,300,0.72957966,300,0.73595566,300,0.74639534,300,0.72061184,300,0.72651411,300,0.76219922,300,0.7655108,300,0.76863779,300
0.000377734,9.93E-12,0.003945259,9.93E-11,0.64072166,1.99E-08,0.69167189,2.98E-08,0.71033803,3.97E-08,0.72223558,4.96E-08,0.73134052,5.96E-08,0.73891121,6.95E-08,0.74547699,7.94E-08,0.75130614,8.94E-08,0.76136132,1.09E-07,0.73218064,6.25E-08,0.73649442,6.78E-08,0.77731665,1.49E-07,0.78071286,1.59E-07,0.78392981,1.69E-07,0.000377734,300,0.003945259,300,0.64072166,300,0.69167189,300,0.71033803,300,0.72223558,300,0.73134052,300,0.73891121,300,0.74547699,300,0.75130614,300,0.76136132,300,0.73218064,300,0.73649442,300,0.77731665,300,0.78071286,300,0.78392981,300
0.000639986,1.29E-11,0.006567171,1.29E-10,0.6892326,2.58E-08,0.7111273,3.87E-08,0.72495915,5.17E-08,0.73565127,6.46E-08,0.74448237,7.75E-08,0.75205035,9.04E-08,0.75869609,1.03E-07,0.76463579,1.16E-07,0.77494309,1.42E-07,0.73986687,7.15E-08,0.74385434,7.75E-08,0.79141312,1.94E-07,0.79493395,2.07E-07,0.79827363,2.20E-07,0.000639986,300,0.006567171,300,0.6892326,300,0.7111273,300,0.72495915,300,0.73565127,300,0.74448237,300,0.75205035,300,0.75869609,300,0.76463579,300,0.77494309,300,0.73986687,300,0.74385434,300,0.79141312,300,0.79493395,300,0.79827363,300
0.001041987,1.65E-11,0.010585654,1.65E-10,0.70419016,3.30E-08,0.72318786,4.95E-08,0.73684289,6.60E-08,0.7476468,8.25E-08,0.75664259,9.90E-08,0.76438352,1.15E-07,0.77120031,1.32E-07,0.777307,1.48E-07,0.78793525,1.81E-07,0.74701974,8.23E-08,0.75098644,8.91E-08,0.80500174,2.47E-07,0.80866386,2.64E-07,0.81214218,2.80E-07,0.001041987,300,0.010585654,300,0.70419016,300,0.72318786,300,0.73684289,300,0.7476468,300,0.75664259,300,0.76438352,300,0.77120031,300,0.777307,300,0.78793525,300,0.74701974,300,0.75098644,300,0.80500174,300,0.80866386,300,0.81214218,300
0.00165009,2.08E-11,0.016662994,2.08E-10,0.71522353,4.16E-08,0.73425585,6.24E-08,0.74813211,8.32E-08,0.75916095,1.04E-07,0.76837285,1.25E-07,0.77632047,1.46E-07,0.78333552,1.66E-07,0.78963311,1.87E-07,0.80062463,2.29E-07,0.75436352,9.52E-08,0.75837099,1.03E-07,0.81836113,3.12E-07,0.82218156,3.33E-07,0.82581514,3.54E-07,0.00165009,300,0.016662994,300,0.71522353,300,0.73425585,300,0.74813211,300,0.75916095,300,0.76837285,300,0.77632047,300,0.78333552,300,0.78963311,300,0.80062463,300,0.75436352,300,0.75837099,300,0.81836113,300,0.82218156,300,0.82581514,300
0.002560807,2.60E-11,0.02576145,2.60E-10,0.72564124,5.19E-08,0.74496796,7.79E-08,0.75912552,1.04E-07,0.77041665,1.30E-07,0.77987517,1.56E-07,0.7880567,1.82E-07,0.79529515,2.08E-07,0.80180732,2.34E-07,0.81320641,2.86E-07,0.76201573,1.11E-07,0.7660816,1.20E-07,0.83169381,3.89E-07,0.83569166,4.15E-07,0.8394993,4.41E-07,0.002560807,300,0.02576145,300,0.72564124,300,0.74496796,300,0.75912552,300,0.77041665,300,0.77987517,300,0.7880567,300,0.79529515,300,0.80180732,300,0.81320641,300,0.76201573,300,0.7660816,300,0.83169381,300,0.83569166,300,0.8394993,300
0.003914265,3.22E-11,0.03927574,3.22E-10,0.73580427,6.43E-08,0.75548717,9.65E-08,0.76996653,1.29E-07,0.78155419,1.61E-07,0.79129024,1.93E-07,0.79973439,2.25E-07,0.80722344,2.57E-07,0.81397622,2.89E-07,0.82583237,3.54E-07,0.76999389,1.29E-07,0.77413031,1.40E-07,0.84516269,4.82E-07,0.84935995,5.14E-07,0.8533633,5.47E-07,0.003914265,300,0.03927574,300,0.73580427,300,0.75548717,300,0.76996653,300,0.78155419,300,0.79129024,300,0.79973439,300,0.80722344,300,0.81397622,300,0.82583237,300,0.76999389,300,0.77413031,300,0.84516269,300,0.84935995,300,0.8533633,300
0.005913594,3.96E-11,0.059222273,3.96E-10,0.74583017,7.92E-08,0.76591931,1.19E-07,0.7807613,1.58E-07,0.79268192,1.98E-07,0.80272921,2.37E-07,0.81146786,2.77E-07,0.81923801,3.17E-07,0.82626085,3.56E-07,0.83863052,4.35E-07,0.77830515,1.52E-07,0.78252428,1.64E-07,0.85891002,5.94E-07,0.86333226,6.33E-07,0.86755656,6.73E-07,0.005913594,300,0.059222273,300,0.74583017,300,0.76591931,300,0.7807613,300,0.79268192,300,0.80272921,300,0.81146786,300,0.81923801,300,0.82626085,300,0.83863052,300,0.77830515,300,0.78252428,300,0.85891002,300,0.86333226,300,0.86755656,300
0.008852884,4.85E-11,0.088507471,4.85E-10,0.75580087,9.70E-08,0.77634746,1.45E-07,0.79159614,1.94E-07,0.80388999,2.42E-07,0.81428637,2.91E-07,0.82335565,3.39E-07,0.83144173,3.88E-07,0.83876843,4.36E-07,0.85171685,5.33E-07,0.78695832,1.78E-07,0.79127316,1.93E-07,0.87306945,7.27E-07,0.87774664,7.76E-07,0.88222157,8.24E-07,0.008852884,300,0.088507471,300,0.75580087,300,0.77634746,300,0.79159614,300,0.80388999,300,0.81428637,300,0.82335565,300,0.83144173,300,0.83876843,300,0.85171685,300,0.78695832,300,0.79127316,300,0.87306945,300,0.87774664,300,0.88222157,300
0.01315741,5.92E-11,0.13130258,5.92E-10,0.76578209,1.18E-07,0.78684134,1.78E-07,0.80254569,2.37E-07,0.81525822,2.96E-07,0.82604683,3.55E-07,0.83548821,4.14E-07,0.84393042,4.74E-07,0.85160017,5.33E-07,0.86520344,6.51E-07,0.79596578,2.10E-07,0.80039048,2.28E-07,0.88777503,8.88E-07,0.89274273,9.47E-07,0.89750357,1.01E-06,0.01315741,300,0.13130258,300,0.76578209,300,0.78684134,300,0.80254569,300,0.81525822,300,0.82604683,300,0.83548821,300,0.84393042,300,0.85160017,300,0.86520344,300,0.79596578,300,0.80039048,300,0.88777503,300,0.89274273,300,0.89750357,300
0.019441498,7.20E-11,0.19354787,7.20E-10,0.77582976,1.44E-07,0.79746283,2.16E-07,0.81367816,2.88E-07,0.82686131,3.60E-07,0.83809183,4.32E-07,0.84795339,5.04E-07,0.85679858,5.76E-07,0.86485731,6.48E-07,0.87920512,7.92E-07,0.80534422,2.49E-07,0.80989445,2.70E-07,0.90316963,1.08E-06,0.9084706,1.15E-06,0.91355988,1.22E-06,0.019441498,300,0.19354787,300,0.77582976,300,0.79746283,300,0.81367816,300,0.82686131,300,0.83809183,300,0.84795339,300,0.85679858,300,0.86485731,300,0.87920512,300,0.80534422,300,0.80989445,300,0.90316963,300,0.9084706,300,0.91355988,300
0.028591606,8.74E-11,0.28351497,8.74E-10,0.78599387,1.75E-07,0.80826955,2.62E-07,0.82505907,3.50E-07,0.83877279,4.37E-07,0.85050304,5.25E-07,0.86084111,6.12E-07,0.87014454,7.00E-07,0.87864667,7.87E-07,0.89384625,9.62E-07,0.81511541,2.95E-07,0.81980867,3.20E-07,0.91941454,1.31E-06,0.92510114,1.40E-06,0.9305712,1.49E-06,0.028591606,300,0.28351497,300,0.78599387,300,0.80826955,300,0.82505907,300,0.83877279,300,0.85050304,300,0.86084111,300,0.87014454,300,0.87864667,300,0.89384625,300,0.81511541,300,0.81980867,300,0.91941454,300,0.92510114,300,0.9305712,300
0.037116693,1.00E-10,0.36598922,1.00E-09,0.79319094,2.00E-07,0.81596161,3.00E-07,0.83319512,4.00E-07,0.84732052,5.00E-07,0.85943974,6.00E-07,0.87014975,7.00E-07,0.87981182,8.00E-07,0.88866187,9.00E-07,0.9045321,1.10E-06,0.82530696,3.51E-07,0.830163,3.80E-07,0.93137127,1.50E-06,0.93736499,1.60E-06,0.94313886,1.70E-06,0.037116693,300,0.36598922,300,0.79319094,300,0.81596161,300,0.83319512,300,0.84732052,300,0.85943974,300,0.87014975,300,0.87981182,300,0.88866187,300,0.9045321,300,0.82530696,300,0.830163,300,0.93137127,300,0.93736499,300,0.94313886,300
0.052168205,1.00E-10,0.48650442,1.00E-09,0.79314283,2.00E-07,0.81588171,3.00E-07,0.83309199,4.00E-07,0.84720011,5.00E-07,0.8593069,6.00E-07,0.8700087,7.00E-07,0.87966638,8.00E-07,0.88851558,9.00E-07,0.904394,1.10E-06,0.83595315,4.17E-07,0.84099441,4.52E-07,0.93128554,1.50E-06,0.93729933,1.60E-06,0.94309597,1.70E-06,0.052168205,300,0.48650442,300,0.79314283,300,0.81588171,300,0.83309199,300,0.84720011,300,0.8593069,300,0.8700087,300,0.87966638,300,0.88851558,300,0.904394,300,0.83595315,300,0.84099441,300,0.93128554,300,0.93729933,300,0.94309597,300
0.070212733,1.00E-10,0.54220368,1.00E-09,0.79305111,2.00E-07,0.8157597,3.00E-07,0.83294619,4.00E-07,0.84703608,5.00E-07,0.8591296,6.00E-07,0.86982271,7.00E-07,0.87947598,8.00E-07,0.88832481,9.00E-07,0.90421394,1.10E-06,0.8470959,4.97E-07,0.85234805,5.38E-07,0.93116923,1.50E-06,0.93720726,1.60E-06,0.9430313,1.70E-06,0.070212733,300,0.54220368,300,0.79305111,300,0.8157597,300,0.83294619,300,0.84703608,300,0.8591296,300,0.86982271,300,0.87947598,300,0.88832481,300,0.90421394,300,0.8470959,300,0.85234805,300,0.93116923,300,0.93720726,300,0.9430313,300
0.091839737,1.00E-10,0.55545651,1.00E-09,0.79294094,2.00E-07,0.81561321,3.00E-07,0.83277114,4.00E-07,0.84683914,5.00E-07,0.85891675,6.00E-07,0.86959943,7.00E-07,0.8792474,8.00E-07,0.8880958,9.00E-07,0.90399781,1.10E-06,0.85878605,5.93E-07,0.86427869,6.42E-07,0.93102976,1.50E-06,0.93709694,1.60E-06,0.94295397,1.70E-06,0.091839737,300,0.55545651,300,0.79294094,300,0.81561321,300,0.83277114,300,0.84683914,300,0.85891675,300,0.86959943,300,0.8792474,300,0.8880958,300,0.90399781,300,0.85878605,300,0.86427869,300,0.93102976,300,0.93709694,300,0.94295397,300
